버스번호,혼잡도
동대문01,43661
금천03,27204
금천01,26466
서초18,23208
구로03,21804
5621,20249
5515,19731
양천01,18709
130,18486
동작01,18067
관악07,17638
서초03,17143
1142,16513
5617,16290
영등포11,15856
272,15749
143,15674
서대문03,15590
6628,15539
7612,15463
1164,15377
관악01,15232
4212,15179
관악05,14950
성북08,14936
관악03,14915
160,14698
360,14658
용산02,14555
관악08,14492
303,14438
2211,14357
관악06,14337
구로01,14298
관악10,14261
370,14245
광진05,14225
강북05,13996
동작08,13903
600,13661
152,13592
140,13380
420,13363
147,13272
702A서오릉,13146
643,13077
472,12997
서대문05,12966
120,12827
340,12650
성동01,12599
동작09,12561
153,12410
6637,12336
종로08,12273
성북01,12187
동대문03,12177
5712,12167
5524,12134
641,12094
서대문01,12070
3315,11904
9401,11881
721,11821
도봉07,11766
강남02,11752
관악04,11712
양천02,11615
3313,11580
720,11565
5531,11523
관악02,11504
142,11351
144,11241
150,11230
148,11183
중랑02,11074
301,11030
1014,10977
421,10961
5511,10942
종로03,10882
504,10851
강남06,10841
1711,10802
5413,10784
101,10731
영등포04,10568
146,10524
영등포01,10518
마포06,10512
서대문11,10490
5714,10429
145,10300
1224,10293
500,10279
6715,10278
162,10272
마포09,10233
602,10122
5620,10094
성북04,10032
501,10005
은평03,9990
영등포09,9955
752,9831
601,9770
노원14,9763
102,9729
7211,9714
470,9698
273,9574
성동08,9546
강남01,9509
강동05,9499
강북06,9496
1165,9446
151,9404
강서05,9320
463,9315
서초15,9295
741,9291
260,9286
202,9271
구로10,9238
5536,9232
강남07,9205
2015,9191
141,9171
1132,9163
171,9060
2415,9059
103,9037
서초22,8988
용산04,8951
3413,8931
3417,8901
261,8891
6515,8879
320,8812
도봉02,8750
7022,8724
761,8710
구로09,8701
6716,8683
도봉06,8675
3314,8642
도봉05,8589
1213,8535
402,8510
5523,8507
270,8503
110B국민대,8482
2221,8482
6512,8470
262,8445
7016,8387
7021,8296
구로13,8295
은평09,8269
652,8197
1137,8195
6514,8172
5516,8132
동작07,8102
영등포08,8101
광진03,8062
마포10,8046
740,8010
노원15,7943
110A고려대,7935
121,7900
동작12,7878
마포16,7850
서초13,7849
104,7841
603,7825
5623,7813
영등포10,7805
성북22,7804
540,7791
서대문12,7780
5618,7762
1111,7736
동작03,7731
505,7691
3322,7683
5513,7681
271A,7678
651,7670
노원02,7670
마포17,7621
6513,7599
461,7578
1119,7576
동작15,7576
도봉09,7560
3012,7539
강서06,7533
강남03,7511
양천04,7485
5619,7467
7730,7447
506,7441
종로12,7434
452,7433
도봉03,7404
5615,7402
1126,7399
5626,7385
강서01,7376
마포08,7355
362,7351
100,7340
영등포03,7325
3411,7313
강동01,7292
2412,7274
동대문05,7266
0017,7259
440,7250
605,7250
은평01,7230
7720,7206
구로06,7204
7025,7186
4412,7116
604,7090
5528,7088
400,7082
753,7075
3217,7064
7737,7061
종로09,7052
3317,7051
640,7051
5522A난곡,7041
571,7001
강남05,6991
7734,6972
강북09,6931
동작06,6931
7738,6915
서초10,6871
노원08,6870
영등포05,6832
강북11,6822
금천08,6820
7715,6779
6624,6775
4432,6760
4319,6740
7019,6717
109,6707
용산03,6700
241,6675
광진04,6644
성동10,6635
동작16,6633
서대문09,6616
강서04,6614
5713,6607
650,6588
1122,6587
강북10,6581
350,6558
172,6555
서초09,6550
서초17,6550
5530,6540
3216,6519
6211,6516
성동05,6479
성동09,6475
3220,6466
105,6447
강북04,6421
507,6390
654,6380
강북02,6362
708,6361
441,6354
마포03,6336
106,6308
702B용두초교,6294
노원11,6279
금천05,6273
1154,6252
1130,6245
양천03,6224
성북09,6222
710,6201
6411,6200
333,6189
구로02,6187
341,6153
7611,6151
서대문06,6147
종로05,6135
7018,6109
구로08,6089
1162,6085
구로05,6071
4419,6060
5625,6056
은평06,6033
5522B호암,6025
6631,6020
4318,6004
금천06,5993
701,5975
6635,5964
5535,5957
2222,5948
1155,5945
4211,5934
서초07,5904
구로11,5879
700,5877
종로11,5849
302,5844
강북12,5844
2115,5811
서초21,5808
750A,5807
6629,5806
107,5804
7017,5784
서대문08,5776
도봉04,5775
1020,5758
342,5750
서대문14,5748
서초08,5729
강동02,5716
3316,5714
2230,5684
750B,5679
3011,5676
종로02,5644
마포15,5642
6623,5639
3318,5624
3214,5623
마포12,5616
6640A,5603
6640B,5600
751,5595
6638,5591
401,5580
강북03,5557
금천04,5553
성북13,5549
성동12,5487
7011,5463
5537,5433
3414,5424
동작05,5407
7212,5386
2012,5385
1218,5383
5517,5347
동작11,5259
동대문02,5231
7727,5187
6627,5153
성북10-1,5142
7722,5130
173,5108
은평05,5106
서대문02,5084
마포11,5009
1128,4986
406,4931
2013,4921
704,4914
2016,4903
5534,4833
7728,4829
구로04,4818
관악11,4807
240,4800
성동03-1,4798
705,4764
405,4759
동작02,4756
5012,4745
서초14,4730
1139,4727
606,4705
서초16,4694
2014,4657
2112,4656
노원05,4627
노원01,4604
502,4590
1135,4580
강북01,4570
2233,4539
653,4511
201,4507
2224,4505
7613,4457
성북02,4442
5633,4426
5616,4404
강북08,4403
노원09,4355
동작14,4352
3416,4326
은평10,4308
1133,4299
5519,4296
광진01,4272
6616,4260
3425,4245
3319,4215
6648,4183
1115,4178
강남10,4176
6632,4163
3412,4131
7711,4123
242,4112
성북03,4093
3426,4088
541,4077
4433,4075
6649,4039
662,4023
3321,4015
6714,3935
1167,3923
02,3922
5525,3921
성동02,3908
서초02,3905
6614,3900
마포01,3883
서초11,3877
6511,3866
강남08,3866
마포18,3862
6617,3859
영등포12,3822
6642,3819
673,3803
마포02,3783
6645,3739
강남06-2,3736
674,3733
영등포13,3679
은평07,3671
강서03,3669
성북20,3612
1227,3608
04,3607
6615,3604
6620,3601
2413,3598
7723,3583
성북07,3582
5627,3581
660,3572
성북12,3550
108,3539
661,3529
1017,3525
1222,3512
6625,3504
2235,3491
마포05,3450
6630,3432
금천01-1,3427
영등포02,3411
7739,3407
성북21,3407
3212,3381
1136,3376
773,3334
노원03,3289
503,3248
성북14-1,3246
5630,3243
6712,3235
동작17,3214
1140,3208
2114,3196
672,3191
2113,3164
성동03-2,3131
707,3117
1114,3116
8761,3115
6516,3107
2227,3106
2311,3060
영등포07,3030
7713,3007
용산01,3000
동작05-1,2994
은평08-1,2968
1141,2967
6657,2948
동작13,2946
9404,2934
1116,2908
도봉01,2862
6647,2859
서대문10,2818
5624,2811
4435,2779
1156,2755
금천07,2748
1113,2740
6613,2737
1127,2665
1221,2640
광진02,2631
구로12,2618
9707,2607
강남06-1,2590
1120,2575
서초18-1,2541
343,2498
1138,2493
7024,2465
1124,2464
1143,2455
3422,2455
6654,2449
은평02,2445
종로01,2429
성동06,2381
은평04,2381
7013A,2379
774,2345
동작20,2337
서대문04,2331
771,2302
서대문13,2301
은평08-2,2301
2312,2283
성북14-2,2255
7013B,2243
마포18-1,2228
1144,2214
1131,2185
6611,2180
2234,2150
8221,2124
서대문15,2117
구로07,2113
8771,2108
271B,2097
마포07,2073
성동07,2067
서대문07,2054
성동14,2044
동작19,2038
542,2005
성동13,1981
금천11,1942
1129,1913
9711A,1852
성북15,1825
동작21,1814
성북10-2,1796
7719,1744
8552,1738
성북06,1724
8774,1717
271,1674
금천02,1651
8441,1628
동작18,1617
8331,1594
서초06,1579
구로14,1538
마포14,1531
노원13,1505
도봉08,1501
9403,1485
9701,1470
종로13,1324
8551,1302
서초20,1268
7726,1159
영등포06,1146
강서05-1,1144
구로15,1093
강서02,1068
노원04,1042
9703,1012
중랑01,983
마포13,956
4312,953
9714,947
9408,941
8003,837
01B,798
742,785
01A,767
5634,761
1226,626
동작10,622
서초01,575
8772,573
종로07,567
서초05,545
강서07,461
8112,456
성북05,429
N30,338
9711,316
8541,259
N61,256
03,222
N13,191
N16,171
N37,170
N15,166
N26,163
N62,119
N65,105
8777,16
