정류장ARS,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
1001,329,327,156,318,46,0,541,1709,1945,2040,1279,1206,1269,1406,1239,1316,1201,1651,1710,1370,811,774,907,361
1002,64,5,0,0,3665,3856,4047,11266,19441,11498,7380,5639,5295,5495,6352,6032,6063,7379,5879,2559,1716,1798,1507,685
1003,394,40,0,0,3126,5182,4639,9325,14989,11242,8597,7589,8595,9706,9316,9118,9260,9975,8802,6352,6330,8135,7701,1611
1004,45,135,53,82,716,1081,855,1394,1918,1539,1368,1455,1624,2033,1839,1968,2386,2720,2924,2139,1776,1924,2083,331
1005,310,23,0,0,2432,3187,3601,7510,9765,8170,6153,5774,6381,6843,6365,6164,6925,6875,6245,3964,2817,3133,3065,877
1006,438,139,109,128,651,1687,1775,4279,7357,4356,3203,3410,3247,3608,3891,4845,5324,6155,7643,4109,3350,3288,3480,1098
1007,832,201,77,88,2461,4716,4024,11471,21988,12152,8676,8264,7970,7993,8102,8535,8760,12523,14200,6396,4117,3568,3444,1169
1008,171,67,45,33,842,2400,1628,5381,9734,4440,2833,3137,3146,3602,3926,4178,4832,8249,12083,4996,3123,3036,2866,656
1009,2276,765,285,161,3392,4543,4661,9815,18827,14256,9059,9623,8648,9376,9155,9881,10266,11721,14838,8054,6303,6339,5812,2392
1010,942,349,136,142,933,3348,2396,5720,11680,6892,4585,5836,5999,8053,8233,8974,9558,11571,14677,9081,7088,7763,6140,2025
1011,1095,579,252,226,1595,3396,3041,7602,13183,11387,8027,9365,8922,10953,11929,12989,12686,16128,19737,11385,9663,10108,8872,2318
1012,1013,311,147,257,1579,4496,3710,9918,19450,10550,7091,7682,7813,9237,9904,10159,10402,13082,17386,10511,8599,9584,8740,2457
1013,2372,2117,1062,1106,2054,2315,2560,4951,7794,8452,7431,8642,9728,11066,11728,13687,13366,15476,17520,11740,10121,12668,13922,3346
1014,2248,1804,944,1838,3387,4434,3811,9465,16301,11574,8391,8774,10363,11604,11843,12412,13000,15041,16962,11525,9506,11184,12402,3109
1015,2608,760,246,323,519,1266,1847,3872,7473,8459,8978,10603,11427,12580,12749,14062,14102,14875,16012,11522,9311,12490,13551,4300
1016,1327,417,356,465,2417,5091,3799,7258,12450,12142,9676,9924,11068,12747,11696,12318,12508,12948,14033,9550,7024,7942,9187,2607
1017,1098,308,81,103,288,832,1048,2224,4601,4193,5746,6343,7049,7335,7976,8582,8707,9141,10008,6168,3541,3725,3881,1477
1018,340,132,124,119,768,2021,2206,4352,7010,7463,6829,6751,7006,7286,7624,7392,7251,6671,6660,3510,1813,1541,1521,625
1019,2093,467,155,144,378,1760,2536,5264,10896,9729,11107,12707,13686,15441,16340,17651,16641,17375,18072,10782,7171,6317,6640,2730
1020,848,162,97,103,281,1525,1991,4561,8974,8175,8096,8400,9069,9637,10217,9846,9261,8691,8894,5029,3360,2918,2383,1006
