index,노선명,노선타입,순번,정류소명,X좌표,Y좌표,정류소번호
0,17,지선,1,청암자이아파트,126.9465175,37.53436261,3689
1,17,지선,2,청암동강변삼성아파트,126.9493038,37.53396067,3298
2,17,지선,3,청심경로당,126.9504486,37.53374391,3321
3,17,지선,4,원효2동주민센터,126.9509044,37.53427841,3304
4,17,지선,5,산천동,126.9539838,37.53542015,3306
5,17,지선,6,신창동세방아파트,126.9550322,37.53574877,3308
6,17,지선,7,남이장군사당,126.9579569,37.53670696,3310
7,17,지선,8,새마을금고,126.9595028,37.53712596,3312
8,17,지선,9,용문시장,126.9607349,37.53663042,3247
9,17,지선,10,용산전자상가입구,126.9620434,37.53448282,3250
10,17,지선,11,신용산.지하차도,126.9639003,37.53265728,3252
11,17,지선,12,용산역,126.966155,37.529349,3255
12,17,지선,13,용산푸르지오써밋,126.9645186,37.52719349,3256
13,17,지선,14,한강대교북단,126.9640057,37.52525009,3122
14,17,지선,15,서부이촌동입구,126.959676,37.52369726,3294
15,17,지선,16,이촌2동대림아파트.새남터성지,126.9562789,37.52614827,3292
16,17,지선,17,이촌2동주민센터,126.9550134,37.5277168,3290
17,17,지선,18,성촌공원.포르쉐센터용산,126.9545558,37.53017356,3288
18,17,지선,19,이촌119안전센터.성촌공원,126.9530396,37.53016859,3287
19,17,지선,20,원효2동산호아파트후문,126.9495515,37.53244309,3296
20,17,지선,21,청암동강변삼성아파트,126.9493038,37.53396067,3298
21,17,지선,22,원효2동산호아파트,126.9505884,37.53308033,3299
22,17,지선,23,원효로풍전아파트,126.9535517,37.53224079,3301
23,17,지선,24,성촌공원.포르쉐센터용산,126.9544434,37.52974286,3289
24,17,지선,25,이촌2동주민센터,126.9547629,37.5279692,3291
25,17,지선,26,이촌2동대림아파트.새남터성지,126.9562314,37.52606895,3293
26,17,지선,27,이촌2동강변아파트,126.9598438,37.5235147,3295
27,17,지선,28,한강대교북단.LG유플러스,126.9631731,37.52410097,3001
28,17,지선,29,신용산역,126.9661444,37.52728043,3003
29,17,지선,30,신용산역,126.9676302,37.52998618,3253
30,17,지선,31,신용산.지하차도,126.9639418,37.53272986,3251
31,17,지선,32,용산전자상가입구,126.9621315,37.53453477,3249
32,17,지선,33,용문시장,126.9612722,37.53594669,3248
33,17,지선,34,새마을금고,126.9593911,37.5372318,3313
34,17,지선,35,남이장군사당,126.958255,37.53686593,3311
35,17,지선,36,신창동세방아파트,126.9549545,37.53581692,3309
36,17,지선,37,산천동,126.953802,37.53548524,3307
37,17,지선,38,산천동리버힐삼성아파트,126.9511868,37.53450744,3305
38,17,지선,39,삼성테마트,126.9503602,37.53375478,3322
39,17,지선,40,청암동강변삼성아파트,126.9482437,37.53459735,3297
40,01A,순환,1,서울역버스환승센터,126.9727727,37.55547526,2006
41,01A,순환,2,경찰청.동북아역사재단,126.969006,37.56299314,2110
42,01A,순환,3,서대문경찰서.농협은행.유관순활동터,126.9676563,37.56484788,2113
43,01A,순환,4,서대문.서울시교육청,126.964432,37.5681995,1168
44,01A,순환,5,독립문,126.9614825,37.57111989,1171
45,01A,순환,6,사직단,126.9680705,37.57494659,1128
